Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
MSTRG.16	AGRN	chr1	+	955500	991494	74.089737	5.383541	16.890963
LOC100288175	LOC100288175	chr1	+	995114	1001833	1.870637	0.114744	0.360013
RNF223	RNF223	chr1	-	1006347	1009686	0.000000	0.000000	0.000000
MSTRG.17	C1orf159	chr1	-	1017203	1051469	35.165482	2.873452	9.015511
LINC01342	LINC01342	chr1	+	1072397	1079434	0.000000	0.000000	0.000000
MIR200B	MIR200B	chr1	+	1102484	1102578	0.000000	0.000000	0.000000
MIR200A	MIR200A	chr1	+	1103243	1103332	0.000000	0.000000	0.000000
MIR429	MIR429	chr1	+	1104385	1104467	0.000000	0.000000	0.000000
TTLL10	TTLL10	chr1	+	1109260	1133315	0.000000	0.000000	0.000000
TNFRSF18	TNFRSF18	chr1	-	1138888	1141972	0.000000	0.000000	0.000000
TNFRSF4	TNFRSF4	chr1	-	1146720	1149533	0.531163	0.032581	0.102225
MSTRG.18	SDF4	chr1	-	1152288	1167447	1313.862183	85.795761	269.185852
MSTRG.19	B3GALT6	chr1	+	1167617	1170420	116.659775	7.155886	22.451727
C1QTNF12	C1QTNF12	chr1	-	1177833	1182102	2.527027	0.155007	0.486338
MSTRG.20	UBE2J2	chr1	-	1189292	1209234	168.016357	14.149818	44.395325
SCNN1D	SCNN1D	chr1	+	1215816	1227409	6.396040	0.395668	1.241416
MSTRG.21	ACAP3	chr1	-	1227771	1243310	55.382496	6.459323	20.266249
MSTRG.22	PUSL1	chr1	+	1243960	1247057	100.254875	6.561175	20.585812
MSTRG.23	INTS11	chr1	-	1246965	1260067	322.624237	25.742281	80.766899
MSTRG.24	CPTP	chr1	+	1260182	1264276	93.871399	5.758051	18.065996
MSTRG.25	TAS1R3	chr1	+	1266660	1270694	0.979648	0.060091	0.188538
MSTRG.26	DVL1	chr1	-	1270658	1284798	270.307098	17.540955	55.035080
MSTRG.27	MXRA8	chr1	-	1286716	1298921	909.815552	139.012360	436.153900
ANKRD65	ANKRD65	chr1	-	1353800	1356824	0.636050	0.041276	0.129503
MSTRG.30	CCNL2	chr1	-	1321089	1334722	267.676147	18.491026	58.015942
MSTRG.31	MRPL20-AS1	chr1	+	1334898	1337426	127.856819	7.881094	24.727085
MSTRG.32	MRPL20	chr1	-	1337289	1342673	577.283142	51.333366	161.059402
MSTRG.35	TMEM240	chr1	-	1470158	1476004	3.617668	0.221907	0.696237
MSTRG.29	ATAD3C	chr1	+	1385069	1405542	2.111210	0.129501	0.406312
MSTRG.34	ATAD3B	chr1	+	1407145	1470067	68.094299	20.750763	65.105919
CALML6	CALML6	chr1	+	1846699	1848735	1.476119	0.090545	0.284086
MSTRG.40	PRKCZ	chr1	+	1981850	2116838	0.052792	0.082352	0.258382
MSTRG.41	PRKCZ-AS1	chr1	-	2113233	2115314	1.580207	0.096930	0.304118
MSTRG.42	FAAP20	chr1	-	2115899	2144159	42.514511	14.657190	45.987213
MSTRG.47	MORN1	chr1	-	2252692	2322993	3.563862	0.862808	2.707075
MSTRG.48	LOC100129534	chr1	-	2281854	2284100	3.247886	0.199225	0.625071
MSTRG.39	SKI	chr1	+	2159758	2241652	171.480850	10.960670	34.389313
MSTRG.33	SSU72	chr1	-	1477053	1510243	698.510681	42.846497	134.431686
FNDC10	FNDC10	chr1	-	1533392	1535515	5.457160	0.334741	1.050256
LOC105378586	LOC105378586	chr1	+	1534813	1542590	0.000000	0.000000	0.000000
MSTRG.36	MIB2	chr1	+	1550795	1565990	55.314255	5.437285	17.059586
MMP23B	MMP23B	chr1	+	1567552	1570030	1.958392	0.120127	0.376902
MMP23A	MMP23A	chr1	+	1568159	1570027	0.000000	0.000000	0.000000
MSTRG.43	CDK11B	chr1	-	1570603	1655796	61.946728	17.243502	54.101810
MSTRG.44	CDK11B	chr1	-	1586757	1590913	35.198769	2.159085	6.774170
MSTRG.45	SLC35E2B	chr1	-	1592939	1677751	54.167267	13.970792	43.833626
MSTRG.46	MMP23A	chr1	+	1631378	1633247	1.003389	0.061548	0.193107
MSTRG.37	NADK	chr1	-	1682671	1711470	90.571701	11.461173	35.959648
MSTRG.38	GNB1	chr1	-	1716432	1822556	143.087479	84.554359	265.290894
PLCH2	PLCH2	chr1	+	2398890	2436971	0.000000	0.000000	0.000000
TNFRSF14-AS1	TNFRSF14-AS1	chr1	-	2481359	2488450	0.455589	0.027946	0.087680
TNFRSF14	TNFRSF14	chr1	+	2487804	2497061	17.523602	1.080751	3.390876
MSTRG.51	PANK4	chr1	-	2439976	2458035	86.747253	5.321058	16.694921
MSTRG.49	RER1	chr1	+	2323280	2336875	373.724487	34.413235	107.972176
MSTRG.50	PEX10	chr1	-	2335413	2345266	57.005093	3.844205	12.061266
PRDM16-DT	PRDM16-DT	chr1	-	2976181	2984289	1.140333	0.107514	0.337328
MSTRG.52	PRXL2B	chr1	+	2517962	2522907	87.630455	5.953794	18.680143
MSTRG.53	MMEL1	chr1	-	2522079	2564455	0.000000	0.000000	0.000000
ARHGEF16	ARHGEF16	chr1	+	3371229	3397677	0.969171	0.059449	0.186522
PRDM16	PRDM16	chr1	+	2985767	3355185	5.345252	0.328541	1.030805
MIR4251	MIR4251	chr1	+	3044539	3044599	0.000000	0.000000	0.000000
MSTRG.55	MEGF6	chr1	-	3404515	3528072	24.101095	1.627607	5.106647
MSTRG.56	MIR551A	chr1	-	3477260	3477354	0.000000	0.000000	0.000000
MSTRG.54	TPRG1L	chr1	+	3541579	3546691	245.277390	15.045263	47.204796
MSTRG.57	WRAP73	chr1	-	3547334	3566667	120.224586	7.374550	23.137791
TP73	TP73	chr1	+	3569080	3652765	0.041506	0.010822	0.033954
TP73-AS1	TP73-AS1	chr1	-	3652548	3663937	21.823854	1.566772	4.915777
CCDC27	CCDC27	chr1	+	3669014	3688209	0.000000	0.000000	0.000000
SMIM1	SMIM1	chr1	+	3689325	3692546	0.000000	0.000000	0.000000
MSTRG.58	LRRC47	chr1	-	3695123	3713062	122.815247	7.533461	23.636377
MSTRG.61	CEP104	chr1	-	3728651	3773775	54.399689	3.336865	10.469478
MSTRG.62	DFFB	chr1	+	3773831	3801993	9.089017	1.611206	5.055191
MSTRG.59	C1orf174	chr1	-	3805697	3816836	161.705170	9.918961	31.120926
MSTRG.60	LINC01134	chr1	+	3816968	3832011	0.526639	0.032304	0.101354
CHD5	CHD5	chr1	-	6161847	6240381	0.281421	0.017262	0.054161
MSTRG.69	NPHP4	chr1	-	5922871	6052485	34.441483	2.396549	7.519219
MSTRG.70	KCNAB2	chr1	+	6052736	6161240	1.434399	1.021086	3.203678
LINC00337	LINC00337	chr1	+	6296300	6299502	0.000000	0.000000	0.000000
MSTRG.63	GPR153	chr1	-	6307413	6321158	15.121606	0.927556	2.910225
HES2	HES2	chr1	-	6475294	6479979	0.088967	0.005457	0.017122
MSTRG.68	ACOT7	chr1	-	6324332	6453826	235.649414	18.920027	59.361942
MSTRG.64	RPL22	chr1	-	6245080	6269411	1628.321167	127.365402	399.611359
MSTRG.65	LOC102724450	chr1	-	6264900	6265840	16.145540	0.990364	3.107286
MSTRG.66	RNF207	chr1	+	6266179	6281359	12.697521	1.016042	3.187851
MSTRG.67	ICMT	chr1	-	6281231	6296024	341.893341	21.515850	67.506386
TNFRSF25	TNFRSF25	chr1	-	6521214	6526255	11.251437	0.928430	2.912968
PLEKHG5	PLEKHG5	chr1	-	6526152	6580121	26.564463	2.062737	6.471878
TAS1R1	TAS1R1	chr1	+	6615367	6639815	0.159913	0.009809	0.030776
MSTRG.71	NOL9	chr1	-	6581407	6614573	32.218426	1.976271	6.200589
MSTRG.72	ZBTB48	chr1	+	6640054	6649340	63.705803	4.003084	12.559752
MSTRG.73	KLHL21	chr1	-	6650784	6662929	152.369308	10.193664	31.982813
MSTRG.74	PHF13	chr1	+	6673791	6684090	112.525330	6.902279	21.656033
MSTRG.75	THAP3	chr1	+	6684925	6695646	69.364769	9.219548	28.926506
MSTRG.76	DNAJC11	chr1	-	6694230	6761876	275.863617	16.921413	53.091263
MSTRG.79	CAMTA1	chr1	+	6845384	7829766	4.133655	19.445251	61.009853
MSTRG.80	CAMTA1-AS2	chr1	-	7442548	7449814	0.000000	0.000000	0.000000
TNFRSF9	TNFRSF9	chr1	-	7975931	8000899	0.836853	0.051332	0.161056
PER3	PER3	chr1	+	7844247	7905240	11.543149	0.739728	2.320909
MSTRG.77	VAMP3	chr1	+	7831356	7841492	292.079193	30.914364	96.994400
MSTRG.78	PARK7	chr1	+	8021714	8045565	2431.250488	156.715775	491.698761
MSTRG.81	SLC45A1	chr1	+	8378174	8404225	19.937099	1.222937	3.836989
MSTRG.82	ERRFI1	chr1	-	8071787	8086369	414.846161	53.063358	166.487289
MSTRG.84	RERE	chr1	-	8412462	8877699	130.876312	11.260276	35.329327
MSTRG.85	RERE-AS1	chr1	+	8484705	8495076	0.000000	0.000000	0.000000
MSTRG.83	-	chr1	.	8954059	8954503	27.182753	1.667384	5.231450
SLC2A7	SLC2A7	chr1	-	9063359	9086404	0.000000	0.000000	0.000000
MSTRG.92	SLC2A5	chr1	-	9095165	9132318	25.773298	2.382743	7.475901
MSTRG.93	GPR157	chr1	-	9160364	9189161	16.605927	1.018604	3.195889
MSTRG.94	MIR34AHG	chr1	-	9208070	9242397	0.009863	0.014970	0.046968
MSTRG.95	LNCTAM34A	chr1	+	9242263	9252144	1.768603	0.108486	0.340376
MSTRG.89	H6PD	chr1	+	9294833	9331394	68.244820	6.510599	20.427128
LINC02606	LINC02606	chr1	-	9485153	9489055	11.070550	0.700618	2.198203
MSTRG.90	SPSB1	chr1	+	9352953	9429590	11.361712	12.615287	39.580700
MSTRG.91	SLC25A33	chr1	+	9599524	9645231	23.208668	1.423615	4.466618
MSTRG.96	TMEM201	chr1	+	9648969	9674935	27.830406	2.883867	9.048186
MSTRG.86	ENO1	chr1	-	8921059	8938894	14001.119141	1450.672485	4551.512207
MSTRG.87	MIR6728	chr1	-	8926561	8926649	5.865169	0.359768	1.128780
MSTRG.88	ENO1-AS1	chr1	+	8938894	8939943	3.614350	0.221703	0.695599
MSTRG.97	CTNNBIP1	chr1	-	9908334	9970327	58.342918	3.610439	11.327820
MSTRG.98	PIK3CD	chr1	+	9711789	9789172	7.517799	0.614023	1.926508
MSTRG.99	PIK3CD-AS1	chr1	-	9712668	9714644	0.000000	0.000000	0.000000
MSTRG.100	PIK3CD-AS2	chr1	-	9732484	9747632	5.162839	0.489500	1.535817
MSTRG.101	CLSTN1	chr1	-	9788984	9884584	514.904297	34.399906	107.930367
CASZ1	CASZ1	chr1	-	10696666	10856703	0.000000	0.000000	0.000000
MSTRG.113	PEX14	chr1	+	10535007	10690815	126.864487	9.482077	29.750196
MSTRG.102	LZIC	chr1	-	9982176	10003449	48.006908	4.087466	12.824503
MSTRG.103	NMNAT1	chr1	+	10002981	10045556	8.035997	5.085943	15.957242
MSTRG.104	TMEM274P	chr1	-	10010630	10020845	0.000000	0.000000	0.000000
MSTRG.105	MIR5697	chr1	+	10027439	10027516	0.000000	0.000000	0.000000
RBP7	RBP7	chr1	+	10057286	10076079	0.000000	0.000000	0.000000
MSTRG.106	UBE4B	chr1	+	10093016	10241296	111.260498	7.300982	22.906973
MSTRG.110	KIF1B	chr1	+	10270628	10441661	15.085189	3.902454	12.244024
MSTRG.111	RNU6-8	chr1	+	10359024	10359128	0.000000	0.000000	0.000000
MSTRG.112	KIF1B	chr1	-	10438391	10458687	0.345168	0.021173	0.066429
MSTRG.107	PGD	chr1	+	10459121	10480568	1670.013794	111.753906	350.629974
MSTRG.108	CENPS	chr1	+	10490490	10512210	28.356783	8.109321	25.443148
MSTRG.109	DFFA	chr1	-	10516579	10532586	106.087013	8.749237	27.450897
MSTRG.115	TARDBP	chr1	+	11072679	11090556	166.209732	21.522615	67.527611
MSTRG.116	MASP2	chr1	-	11086580	11107296	0.000000	0.000000	0.000000
MSTRG.114	SRM	chr1	-	11114646	11120075	1327.766479	81.444908	255.534973
MSTRG.117	EXOSC10	chr1	-	11126676	11159926	285.275604	17.498745	54.902645
MSTRG.118	EXOSC10-AS1	chr1	+	11159732	11162162	0.972312	0.293666	0.921384
LINC01647	LINC01647	chr1	+	11669588	11673411	1.050623	0.064445	0.202197
DISP3	DISP3	chr1	+	11539212	11597608	0.000000	0.000000	0.000000
MSTRG.119	UBIAD1	chr1	+	11333255	11359628	28.076378	3.807801	11.947049
MSTRG.120	MTOR	chr1	-	11166592	11322608	99.224838	6.097087	19.129728
MSTRG.121	MTOR-AS1	chr1	+	11203955	11209595	0.000000	0.000000	0.000000
MSTRG.122	ANGPTL7	chr1	+	11249412	11256038	0.054406	0.003337	0.010471
MSTRG.123	FBXO2	chr1	-	11708444	11714486	1.200466	0.073636	0.231035
MSTRG.124	FBXO44	chr1	+	11714464	11723384	28.214788	2.365560	7.421989
DRAXIN	DRAXIN	chr1	+	11751767	11785914	0.081602	0.005005	0.015705
MSTRG.125	FBXO6	chr1	+	11724257	11734409	24.605757	1.509312	4.735495
MSTRG.126	MAD2L2	chr1	-	11734537	11751678	341.068451	25.046070	78.582520
MSTRG.127	AGTRAP	chr1	+	11796142	11810828	385.217194	26.408981	82.858681
MSTRG.129	C1orf167	chr1	+	11822250	11849642	0.000000	0.000000	0.000000
MSTRG.130	C1orf167-AS1	chr1	-	11837134	11839676	0.000000	0.000000	0.000000
MSTRG.131	MTHFR	chr1	-	11845781	11866021	36.924553	2.325382	7.295928
RNU5E-1	RNU5E-1	chr1	+	11968211	11968329	1.411765	0.086597	0.271701
NPPB	NPPB	chr1	-	11917521	11919002	1.221751	0.074942	0.235132
MSTRG.132	CLCN6	chr1	+	11866153	11907673	65.325111	4.716106	14.796872
MSTRG.133	NPPA	chr1	-	11905766	11907840	1.385401	0.084980	0.266627
MSTRG.128	KIAA2013	chr1	-	11979648	11986484	318.086731	19.511374	61.217297
MSTRG.134	PLOD1	chr1	+	11994739	12036730	2470.805908	158.086853	496.000458
MSTRG.135	MFN2	chr1	+	12040238	12073572	328.363708	21.839991	68.523384
TNFRSF8	TNFRSF8	chr1	+	12123360	12204264	2.294681	0.140755	0.441622
MSTRG.136	MIIP	chr1	+	12079555	12092102	121.542816	7.828635	24.562492
MSTRG.137	MIR7846	chr1	+	12227000	12269277	68.702316	4.338799	13.613066
MSTRG.139	VPS13D	chr1	+	12290087	12572098	38.572098	2.377783	7.460340
MSTRG.140	SNORA59A	chr1	+	12567300	12567451	3.973684	0.243745	0.764754
C1orf158	C1orf158	chr1	+	12806148	12823847	0.000000	0.000000	0.000000
MSTRG.138	DHRS3	chr1	-	12627939	12680204	223.817505	23.133995	72.583351
MSTRG.141	PRDM2	chr1	+	14026683	14151574	18.894581	3.471333	10.891375
MSTRG.151	KAZN-AS1	chr1	-	14675450	14746469	0.000000	0.000000	0.000000
FHAD1	FHAD1	chr1	+	15573721	15724623	1.144533	0.070205	0.220271
FHAD1-AS1	FHAD1-AS1	chr1	-	15653176	15670379	0.143762	0.008818	0.027668
MSTRG.152	KAZN	chr1	+	14925181	15444539	3.749244	2.678674	8.404390
MSTRG.153	TMEM51-AS1	chr1	-	15438311	15478960	0.000000	0.000000	0.000000
MSTRG.143	TMEM51	chr1	+	15479028	15546974	0.803945	1.529584	4.799098
MSTRG.144	C1orf195	chr1	-	15490692	15498120	0.000000	0.000000	0.000000
MSTRG.142	EFHD2	chr1	+	15736384	15756835	262.173004	16.081636	50.456440
CTRC	CTRC	chr1	+	15764939	15775737	0.000000	0.000000	0.000000
MSTRG.145	CELA2B	chr1	+	15802599	15817889	0.495624	0.030401	0.095385
MSTRG.146	CASP9	chr1	-	15817896	15851285	42.432205	2.887919	9.060901
MSTRG.147	DNAJC16	chr1	+	15853308	15898228	44.208500	2.830266	8.880012
MSTRG.148	SCARNA21B	chr1	+	15868661	15868799	1.000000	0.061340	0.192455
MSTRG.149	AGMAT	chr1	-	15898194	15911546	1.664019	0.102071	0.320248
MSTRG.150	DDI2	chr1	+	15943953	15995539	35.942104	2.235168	7.012883
SLC25A34	SLC25A34	chr1	+	16062753	16067887	0.983381	0.060320	0.189256
SLC25A34-AS1	SLC25A34-AS1	chr1	-	16066546	16076385	0.000000	0.000000	0.000000
TMEM82	TMEM82	chr1	+	16068994	16074477	0.000000	0.000000	0.000000
MSTRG.154	PLEKHM2	chr1	+	16010815	16061264	270.696838	16.655556	52.257118
MSTRG.155	UQCRHL	chr1	-	16133657	16134194	149.468399	9.168360	28.765903
MSTRG.156	FBLIM1	chr1	+	16083133	16113084	160.809753	28.856308	90.537216
HSPB7	HSPB7	chr1	-	16340523	16346089	12.100237	0.865417	2.715262
FAM131C	FAM131C	chr1	-	16384264	16400146	0.439730	0.026973	0.084628
MSTRG.159	FLJ37453	chr1	-	16160710	16174642	4.113198	0.252303	0.791604
MSTRG.160	SPEN	chr1	+	16174202	16266951	52.359528	3.211722	10.076839
MSTRG.161	ZBTB17	chr1	-	16268364	16302627	115.119530	7.176178	22.515392
MSTRG.157	EPHA2	chr1	-	16450832	16482564	57.845539	3.600269	11.295912
MSTRG.158	ARHGEF19	chr1	-	16524349	16539147	49.998795	3.066915	9.622505
CPLANE2	CPLANE2	chr1	-	16558187	16563678	20.427572	1.253023	3.931383
MSTRG.162	FBXO42	chr1	-	16573335	16678975	63.826698	3.915116	12.283751
MSTRG.163	SZRD1	chr1	+	16693737	16724640	757.589478	47.973942	150.519150
MSTRG.164	SPATA21	chr1	-	16722176	16763919	0.000000	0.000000	0.000000
MSTRG.165	NECAP2	chr1	+	16767167	16786584	359.276306	22.614149	70.952324
MSTRG.167	RNVU1-18	chr1	-	16993280	16993443	94.099907	5.772068	18.109972
MSTRG.168	-	chr1	.	17011067	17012745	75.724243	4.644909	14.573489
MSTRG.171	RNVU1-18	chr1	+	17067011	17067174	87.145523	5.345488	16.771568
MST1L	MST1L	chr1	-	17081129	17090975	0.577636	0.035432	0.111169
LOC102724562	LOC102724562	chr1	-	17083556	17086552	0.126096	0.007735	0.024268
MIR3675	MIR3675	chr1	-	17185444	17185516	0.000000	0.000000	0.000000
LOC440570	LOC440570	chr1	+	17197440	17200587	0.119502	0.007330	0.022999
LOC112267871	LOC112267871	chr1	+	17198721	17200591	0.000000	0.000000	0.000000
LOC105376805	LOC105376805	chr1	-	17215033	17216161	0.000000	0.000000	0.000000
MSTRG.174	RNVU1-18	chr1	+	17222475	17222638	91.824593	5.632501	17.672079
LINC01772	LINC01772	chr1	+	16787443	16794976	2.305260	0.141404	0.443658
CROCCP3	CROCCP3	chr1	-	16793931	16819196	3.159730	0.193817	0.608105
MSTRG.166	RNVU1-18	chr1	-	16840617	16840780	92.515327	5.674870	17.805014
LOC440570	LOC440570	chr1	-	16860337	16863483	0.041636	0.002554	0.008013
LINC01783	LINC01783	chr1	-	16860386	16862147	0.238111	0.014606	0.045826
MIR3675	MIR3675	chr1	+	16875409	16875482	0.000000	0.000000	0.000000
MSTRG.169	NBPF1	chr1	-	16888818	16940356	66.142471	14.030423	44.020718
MSTRG.170	NBPF1	chr1	+	16918673	16920067	0.874158	0.053621	0.168236
MSTRG.172	CROCCP2	chr1	-	16944751	16971210	64.007164	5.241899	16.446560
MSTRG.173	MST1P2	chr1	+	16972069	16976915	4.432474	0.271887	0.853051
MSTRG.175	CROCC	chr1	+	17248426	17299455	29.872221	1.832356	5.749051
MSTRG.176	MFAP2	chr1	-	17300997	17308191	1030.857056	97.646965	306.369202
MSTRG.178	ATP13A2	chr1	-	17312452	17338423	228.319946	14.296243	44.854733
LINC02783	LINC02783	chr1	+	17516284	17522882	1.281356	0.078598	0.246603
PADI1	PADI1	chr1	+	17531623	17572502	0.426677	0.026172	0.082116
PADI3	PADI3	chr1	+	17575593	17610727	0.057403	0.003521	0.011047
MIR3972	MIR3972	chr1	+	17604384	17604470	0.000000	0.000000	0.000000
PADI4	PADI4	chr1	+	17634692	17690499	0.000000	0.000000	0.000000
MSTRG.177	SDHB	chr1	-	17345221	17380527	1035.073608	63.491196	199.204819
MSTRG.179	RCC2	chr1	-	17733256	17766220	378.937256	23.466084	73.625282
MSTRG.181	ARHGEF10L	chr1	+	17866193	18024370	36.273811	3.284570	10.305402
MSTRG.180	ACTL8	chr1	+	18081828	18153558	0.916310	1.261942	3.959367
MSTRG.183	ALDH4A1	chr1	-	19197924	19229293	30.502462	2.031020	6.372365
MSTRG.184	MIR1290	chr1	-	19223565	19223642	0.000000	0.000000	0.000000
MSTRG.182	IFFO2	chr1	-	19230774	19283170	36.392056	2.232281	7.003824
MSTRG.186	UBR4	chr1	-	19401006	19536760	147.925385	9.073711	28.468943
MSTRG.187	EMC1-AS1	chr1	+	19536880	19567198	9.892564	0.927378	2.909666
MSTRG.188	EMC1	chr1	-	19542155	19578018	344.347260	21.161734	66.395332
MSTRG.185	MRTO4	chr1	+	19578299	19586622	468.778809	28.754791	90.218704
AKR7L	AKR7L	chr1	-	19592476	19600616	2.778366	0.170424	0.534710
AKR7A3	AKR7A3	chr1	-	19609067	19615264	3.271194	0.200654	0.629557
MSTRG.189	LOC100506730	chr1	-	19619741	19622230	13.265060	0.813676	2.552924
MSTRG.190	AKR7A2	chr1	-	19629202	19638640	331.717438	20.347477	63.840595
MSTRG.191	SLC66A1	chr1	+	19638820	19658922	54.098789	5.696476	17.872801
MSTRG.192	CAPZB	chr1	-	19665269	19812033	801.888123	208.993500	655.721069
HTR6	HTR6	chr1	+	19991368	20007459	0.276579	0.016965	0.053229
TMCO4	TMCO4	chr1	-	20008706	20126409	19.368593	2.580121	8.095179
PLA2G2A	PLA2G2A	chr1	-	20301924	20306927	8.159688	0.518696	1.627418
PLA2G5	PLA2G5	chr1	+	20396687	20418404	1.699166	0.104226	0.327013
OTUD3	OTUD3	chr1	+	20208888	20239437	14.521799	0.890764	2.794789
LINC01141	LINC01141	chr1	-	20686294	20755287	0.000000	0.000000	0.000000
MSTRG.195	CAMK2N1	chr1	-	20808884	20812703	16.050301	0.984522	3.088957
LOC105378614	LOC105378614	chr1	-	19918296	19923326	0.000000	0.000000	0.000000
MSTRG.193	MICOS10	chr1	+	19923471	19984949	173.473267	108.419693	340.168854
MSTRG.194	RPS14P3	chr1	+	19934301	19935138	3.627685	0.222521	0.698165
FAM43B	FAM43B	chr1	+	20879066	20881513	0.620915	0.038087	0.119498
MSTRG.196	MUL1	chr1	-	20825941	20834644	194.506378	11.930980	37.433678
MSTRG.197	CDA	chr1	+	20915590	20945396	62.434486	3.829718	12.015814
SH2D5	SH2D5	chr1	-	21046224	21059196	1.514879	0.092922	0.291546
KIF17	KIF17	chr1	-	20990507	21044500	0.000000	0.000000	0.000000
MSTRG.198	PINK1	chr1	+	20959951	20978004	210.901398	12.937178	40.590641
MSTRG.199	PINK1-AS	chr1	-	20969150	20987862	984.478027	177.011017	555.375427
MSTRG.204	HP1BP3	chr1	-	21066759	21503390	44.595905	32.970539	103.445686
MSTRG.205	MIR1256	chr1	-	21314807	21314925	1.000000	0.061340	0.192455
MSTRG.200	-	chr1	-	21750236	21752876	28.581821	1.753203	5.500707
MSTRG.203	-	chr1	.	21754836	21757886	21.176336	1.298952	4.075486
MSTRG.206	NBPF3	chr1	+	21766630	21811498	21.835962	1.400048	4.392677
MSTRG.201	ECE1	chr1	-	21543743	21671997	482.658905	32.220222	101.091560
MSTRG.202	ECE1-AS1	chr1	+	21619783	21626362	0.439869	0.026981	0.084655
RAP1GAP	RAP1GAP	chr1	-	21922714	21995850	0.526866	0.034833	0.109290
MSTRG.207	ALPL	chr1	+	21835477	21904903	38.167461	43.582756	136.741730
MSTRG.208	USP48	chr1	-	22004791	22109692	143.528809	10.535600	33.055645
MSTRG.209	LINC01635	chr1	-	22350487	22352541	3.216332	0.197289	0.618998
MSTRG.210	LINC00339	chr1	+	22351684	22357717	28.961079	9.628817	30.210594
MSTRG.212	LDLRAD2	chr1	+	22138758	22151716	1.725736	0.105856	0.332126
MSTRG.213	HSPG2	chr1	-	22148737	22263803	766.697632	47.486958	148.991226
C1QA	C1QA	chr1	+	22963121	22966175	0.000000	0.000000	0.000000
C1QB	C1QB	chr1	+	22979729	22988129	7.612000	0.532040	1.669286
MSTRG.217	ZBTB40	chr1	+	22778344	22857650	39.477089	2.501640	7.848943
MSTRG.211	CDC42	chr1	+	22379202	22427853	221.986710	15.280521	47.942924
WNT4	WNT4	chr1	-	22443806	22469590	1.249488	0.076643	0.240470
MIR4418	MIR4418	chr1	+	22592732	22592793	0.000000	0.000000	0.000000
MSTRG.218	TEX46	chr1	-	23337327	23342345	0.000000	0.000000	0.000000
MSTRG.214	EPHB2	chr1	+	23037331	23247993	6.249298	0.383435	1.203034
MSTRG.215	MIR4684	chr1	+	23046010	23046091	0.000000	0.000000	0.000000
MSTRG.216	MIR4253	chr1	-	23189652	23189719	0.000000	0.000000	0.000000
HTR1D	HTR1D	chr1	-	23518388	23521222	0.219400	0.013458	0.042225
LINC01355	LINC01355	chr1	-	23607802	23612011	4.323555	0.265206	0.832089
MSTRG.219	KDM1A	chr1	+	23345961	23410310	375.387451	28.789209	90.326691
MSTRG.220	LUZP1	chr1	-	23410516	23495351	100.683411	7.015216	22.010374
